identifier,Source,ProteinName,GeneName
sp|P0A832|SSRP_ECOLI,sp,P0A832,SSRP
sp|P0A836|SUCC_ECOLI,sp,P0A836,SUCC
sp|P0A840|SURE_ECOLI,sp,P0A840,SURE
sp|P0A843|TATE_ECOLI,sp,P0A843,TATE
sp|P0A847|TGT_ECOLI,sp,P0A847,TGT
sp|P0A850|TIG_ECOLI,sp,P0A850,TIG
sp|P0A855|TOLB_ECOLI,sp,P0A855,TOLB
sp|P0A858|TPIS_ECOLI,sp,P0A858,TPIS
sp|P0A862|TPX_ECOLI,sp,P0A862,TPX
sp|P0A867|TALA_ECOLI,sp,P0A867,TALA
sp|P0A870|TALB_ECOLI,sp,P0A870,TALB
sp|P0A873|TRMD_ECOLI,sp,P0A873,TRMD
sp|P0A877|TRPA_ECOLI,sp,P0A877,TRPA
sp|P0A879|TRPB_ECOLI,sp,P0A879,TRPB
sp|P0A881|TRPR_ECOLI,sp,P0A881,TRPR
sp|P0A884|TYSY_ECOLI,sp,P0A884,TYSY
sp|P0A887|UBIE_ECOLI,sp,P0A887,UBIE
sp|P0A890|TUSA_ECOLI,sp,P0A890,TUSA
sp|P0A894|RAPZ_ECOLI,sp,P0A894,RAPZ
sp|P0A898|YBEY_ECOLI,sp,P0A898,YBEY
sp|P0A8A0|YEBC_ECOLI,sp,P0A8A0,YEBC
sp|P0A8A2|YEEN_ECOLI,sp,P0A8A2,YEEN
sp|P0A8A4|PSRP_ECOLI,sp,P0A8A4,PSRP
sp|P0A8A8|RIMP_ECOLI,sp,P0A8A8,RIMP
sp|P0A8B2|YFCN_ECOLI,sp,P0A8B2,YFCN
sp|P0A8B5|YBAB_ECOLI,sp,P0A8B5,YBAB
sp|P0A8C1|YBJQ_ECOLI,sp,P0A8C1,YBJQ
sp|P0A8C4|YGFB_ECOLI,sp,P0A8C4,YGFB
sp|P0A8D0|NRDR_ECOLI,sp,P0A8D0,NRDR
sp|P0A8D3|YAII_ECOLI,sp,P0A8D3,YAII
sp|P0A8D6|YMDB_ECOLI,sp,P0A8D6,YMDB
sp|P0A8E1|YCFP_ECOLI,sp,P0A8E1,YCFP
sp|P0A8E5|YACL_ECOLI,sp,P0A8E5,YACL
sp|P0A8E7|YAJQ_ECOLI,sp,P0A8E7,YAJQ
sp|P0A8F0|UPP_ECOLI,sp,P0A8F0,UPP
sp|P0A8F4|URK_ECOLI,sp,P0A8F4,URK
sp|P0A8F8|UVRB_ECOLI,sp,P0A8F8,UVRB
sp|P0A8G0|UVRC_ECOLI,sp,P0A8G0,UVRC
sp|P0A8G3|UXAC_ECOLI,sp,P0A8G3,UXAC
sp|P0A8G6|NQOR_ECOLI,sp,P0A8G6,NQOR
sp|P0A8G9|EX7S_ECOLI,sp,P0A8G9,EX7S
sp|P0A8H6|YIHI_ECOLI,sp,P0A8H6,YIHI
sp|P0A8H8|YACG_ECOLI,sp,P0A8H8,YACG
sp|P0A8I1|YQGF_ECOLI,sp,P0A8I1,YQGF
sp|P0A8I3|YAAA_ECOLI,sp,P0A8I3,YAAA
sp|P0A8I5|TRMB_ECOLI,sp,P0A8I5,TRMB
sp|P0A8I8|RLMH_ECOLI,sp,P0A8I8,RLMH
sp|P0A8J2|DNAT_ECOLI,sp,P0A8J2,DNAT
sp|P0A8J4|YBED_ECOLI,sp,P0A8J4,YBED
sp|P0A8J8|RHLB_ECOLI,sp,P0A8J8,RHLB
sp|P0A8K1|PSD_ECOLI,sp,P0A8K1,PSD
sp|P0A8K5|YAEP_ECOLI,sp,P0A8K5,YAEP
sp|P0A8K8|YIHY_ECOLI,sp,P0A8K8,YIHY
sp|P0A8L1|SYS_ECOLI,sp,P0A8L1,SYS
sp|P0A8L7|YCIU_ECOLI,sp,P0A8L7,YCIU
sp|P0A8M0|SYN_ECOLI,sp,P0A8M0,SYN
sp|P0A8M3|SYT_ECOLI,sp,P0A8M3,SYT
sp|P0A8M6|YEEX_ECOLI,sp,P0A8M6,YEEX
sp|P0A8N0|MATP_ECOLI,sp,P0A8N0,MATP
sp|P0A8N3|SYK1_ECOLI,sp,P0A8N3,SYK1
sp|P0A8N5|SYK2_ECOLI,sp,P0A8N5,SYK2
sp|P0A8N7|EPMA_ECOLI,sp,P0A8N7,EPMA
sp|P0A8P3|FETP_ECOLI,sp,P0A8P3,FETP
sp|P0A8P6|XERC_ECOLI,sp,P0A8P6,XERC
sp|P0A8P8|XERD_ECOLI,sp,P0A8P8,XERD
sp|P0A8Q0|FRDC_ECOLI,sp,P0A8Q0,FRDC
sp|P0A8Q3|FRDD_ECOLI,sp,P0A8Q3,FRDD
sp|P0A8Q6|CLPS_ECOLI,sp,P0A8Q6,CLPS
sp|P0A8R0|RRAA_ECOLI,sp,P0A8R0,RRAA
sp|P0A8R7|YCJF_ECOLI,sp,P0A8R7,YCJF
sp|P0A8R9|HDFR_ECOLI,sp,P0A8R9,HDFR
sp|P0A8S1|ARGP_ECOLI,sp,P0A8S1,ARGP
sp|P0A8S5|USPB_ECOLI,sp,P0A8S5,USPB
sp|P0A8T1|PRMA_ECOLI,sp,P0A8T1,PRMA
sp|P0A8T7|RPOC_ECOLI,sp,P0A8T7,RPOC
sp|P0A8U0|SYDP_ECOLI,sp,P0A8U0,SYDP
sp|P0A8U2|YAFD_ECOLI,sp,P0A8U2,YAFD
sp|P0A8U6|METJ_ECOLI,sp,P0A8U6,METJ
sp|P0A8V0|RBN_ECOLI,sp,P0A8V0,RBN
sp|P0A8V2|RPOB_ECOLI,sp,P0A8V2,RPOB
sp|P0A8V6|FADR_ECOLI,sp,P0A8V6,FADR
sp|P0A8W0|NANR_ECOLI,sp,P0A8W0,NANR
sp|P0A8W2|SLYA_ECOLI,sp,P0A8W2,SLYA
sp|P0A8W5|YQGE_ECOLI,sp,P0A8W5,YQGE
sp|P0A8W8|YFBU_ECOLI,sp,P0A8W8,YFBU
sp|P0A8X0|YJGA_ECOLI,sp,P0A8X0,YJGA
sp|P0A8X2|YCEI_ECOLI,sp,P0A8X2,YCEI
sp|P0A8Y1|YJJG_ECOLI,sp,P0A8Y1,YJJG
sp|P0A8Y3|YIHX_ECOLI,sp,P0A8Y3,YIHX
sp|P0A8Y5|YIDA_ECOLI,sp,P0A8Y5,YIDA
sp|P0A8Z0|YCIA_ECOLI,sp,P0A8Z0,YCIA
sp|P0A8Z3|YBGC_ECOLI,sp,P0A8Z3,YBGC
sp|P0A8Z7|YQIA_ECOLI,sp,P0A8Z7,YQIA
sp|P0A901|BLC_ECOLI,sp,P0A901,BLC
sp|P0A903|BAMC_ECOLI,sp,P0A903,BAMC
sp|P0A905|SLYB_ECOLI,sp,P0A905,SLYB
sp|P0A908|MIPA_ECOLI,sp,P0A908,MIPA
sp|P0A910|OMPA_ECOLI,sp,P0A910,OMPA
sp|P0A912|PAL_ECOLI,sp,P0A912,PAL
sp|P0A917|OMPX_ECOLI,sp,P0A917,OMPX
sp|P0A921|PA1_ECOLI,sp,P0A921,PA1
sp|P0A927|TSX_ECOLI,sp,P0A927,TSX
sp|P0A932|GFCE_ECOLI,sp,P0A932,GFCE
sp|P0A935|MLTA_ECOLI,sp,P0A935,MLTA
sp|P0A937|BAME_ECOLI,sp,P0A937,BAME
sp|P0A940|BAMA_ECOLI,sp,P0A940,BAMA
sp|P0A944|RIMI_ECOLI,sp,P0A944,RIMI
sp|P0A948|RIMJ_ECOLI,sp,P0A948,RIMJ
sp|P0A951|ATDA_ECOLI,sp,P0A951,ATDA
sp|P0A953|FABB_ECOLI,sp,P0A953,FABB
sp|P0A955|ALKH_ECOLI,sp,P0A955,ALKH
sp|P0A959|ALAA_ECOLI,sp,P0A959,ALAA
sp|P0A962|ASPG1_ECOLI,sp,P0A962,ASPG1
sp|P0A964|CHEW_ECOLI,sp,P0A964,CHEW
sp|P0A968|CSPD_ECOLI,sp,P0A968,CSPD
sp|P0A972|CSPE_ECOLI,sp,P0A972,CSPE
sp|P0A988|DPO3B_ECOLI,sp,P0A988,DPO3B
sp|P0A991|ALF1_ECOLI,sp,P0A991,ALF1
sp|P0A993|F16PA_ECOLI,sp,P0A993,F16PA
sp|P0A996|GLPC_ECOLI,sp,P0A996,GLPC
sp|P0A998|FTNA_ECOLI,sp,P0A998,FTNA
sp|P0A9A6|FTSZ_ECOLI,sp,P0A9A6,FTSZ
sp|P0A9A9|FUR_ECOLI,sp,P0A9A9,FUR
sp|P0A9B2|G3P1_ECOLI,sp,P0A9B2,G3P1
sp|P0A9B6|E4PD_ECOLI,sp,P0A9B6,E4PD
sp|P0A9C0|GLPA_ECOLI,sp,P0A9C0,GLPA
sp|P0A9C3|GALM_ECOLI,sp,P0A9C3,GALM
sp|P0A9C5|GLN1B_ECOLI,sp,P0A9C5,GLN1B
sp|P0A9C9|GLPX_ECOLI,sp,P0A9C9,GLPX
sp|P0A9D2|GSTA_ECOLI,sp,P0A9D2,GSTA
sp|P0A9D4|CYSE_ECOLI,sp,P0A9D4,CYSE
sp|P0A9D8|DAPD_ECOLI,sp,P0A9D8,DAPD
sp|P0A9E5|FNR_ECOLI,sp,P0A9E5,FNR
sp|P0A9F1|MNTR_ECOLI,sp,P0A9F1,MNTR
sp|P0A9F3|CYSB_ECOLI,sp,P0A9F3,CYSB
sp|P0A9F6|GCVA_ECOLI,sp,P0A9F6,GCVA
sp|P0A9F9|METR_ECOLI,sp,P0A9F9,METR
sp|P0A9G2|NHAR_ECOLI,sp,P0A9G2,NHAR
sp|P0A9G4|CUER_ECOLI,sp,P0A9G4,CUER
sp|P0A9G6|ACEA_ECOLI,sp,P0A9G6,ACEA
sp|P0A9G8|MODE_ECOLI,sp,P0A9G8,MODE
sp|P0A9H5|BTUR_ECOLI,sp,P0A9H5,BTUR
sp|P0A9H7|CFA_ECOLI,sp,P0A9H7,CFA
sp|P0A9H9|CHEZ_ECOLI,sp,P0A9H9,CHEZ
sp|P0A9I1|CITE_ECOLI,sp,P0A9I1,CITE
sp|P0A9I8|NIRD_ECOLI,sp,P0A9I8,NIRD
sp|P0A9J0|RNG_ECOLI,sp,P0A9J0,RNG
sp|P0A9J4|PANE_ECOLI,sp,P0A9J4,PANE
sp|P0A9J6|RBSK_ECOLI,sp,P0A9J6,RBSK
sp|P0A9J8|CMPDT_ECOLI,sp,P0A9J8,CMPDT
sp|P0A9K3|PHOL_ECOLI,sp,P0A9K3,PHOL
sp|P0A9K7|PHOU_ECOLI,sp,P0A9K7,PHOU
sp|P0A9K9|SLYD_ECOLI,sp,P0A9K9,SLYD
sp|P0A9L3|FKBB_ECOLI,sp,P0A9L3,FKBB
sp|P0A9L5|PPIC_ECOLI,sp,P0A9L5,PPIC
sp|P0A9L8|P5CR_ECOLI,sp,P0A9L8,P5CR
sp|P0A9M0|LON_ECOLI,sp,P0A9M0,LON
sp|P0A9M2|HPRT_ECOLI,sp,P0A9M2,HPRT
sp|P0A9M5|XGPT_ECOLI,sp,P0A9M5,XGPT
sp|P0A9M8|PTA_ECOLI,sp,P0A9M8,PTA
sp|P0A9N0|PTSO_ECOLI,sp,P0A9N0,PTSO
sp|P0A9N4|PFLA_ECOLI,sp,P0A9N4,PFLA
sp|P0A9N8|NRDG_ECOLI,sp,P0A9N8,NRDG
sp|P0A9P0|DLDH_ECOLI,sp,P0A9P0,DLDH
sp|P0A9P4|TRXB_ECOLI,sp,P0A9P4,TRXB
sp|P0A9P6|DEAD_ECOLI,sp,P0A9P6,DEAD
sp|P0A9Q1|ARCA_ECOLI,sp,P0A9Q1,ARCA
sp|P0A9Q5|ACCD_ECOLI,sp,P0A9Q5,ACCD
sp|P0A9Q7|ADHE_ECOLI,sp,P0A9Q7,ADHE
sp|P0A9Q9|DHAS_ECOLI,sp,P0A9Q9,DHAS
sp|P0A9R4|FER_ECOLI,sp,P0A9R4,FER
sp|P0A9R7|FTSE_ECOLI,sp,P0A9R7,FTSE
sp|P0A9S1|FUCO_ECOLI,sp,P0A9S1,FUCO
sp|P0A9S5|GLDA_ECOLI,sp,P0A9S5,GLDA
sp|P0A9T0|SERA_ECOLI,sp,P0A9T0,SERA
sp|P0A9T4|TAS_ECOLI,sp,P0A9T4,TAS
sp|P0A9T8|YBBA_ECOLI,sp,P0A9T8,YBBA
sp|P0A9U1|YBHF_ECOLI,sp,P0A9U1,YBHF
sp|P0A9U3|YBIT_ECOLI,sp,P0A9U3,YBIT
sp|P0A9V1|LPTB_ECOLI,sp,P0A9V1,LPTB
sp|P0A9V5|YIAG_ECOLI,sp,P0A9V5,YIAG
sp|P0A9W0|ULAR_ECOLI,sp,P0A9W0,ULAR
sp|P0A9W3|ETTA_ECOLI,sp,P0A9W3,ETTA
sp|P0A9W6|IBAG_ECOLI,sp,P0A9W6,IBAG
sp|P0A9W9|YRDA_ECOLI,sp,P0A9W9,YRDA
sp|P0A9X1|ZNUC_ECOLI,sp,P0A9X1,ZNUC
sp|P0A9X4|MREB_ECOLI,sp,P0A9X4,MREB
sp|P0A9X9|CSPA_ECOLI,sp,P0A9X9,CSPA
sp|P0A9Y6|CSPC_ECOLI,sp,P0A9Y6,CSPC
sp|P0A9Z1|GLNB_ECOLI,sp,P0A9Z1,GLNB
sp|P0AA04|PTHP_ECOLI,sp,P0AA04,PTHP
sp|P0AA10|RL13_ECOLI,sp,P0AA10,RL13
sp|P0AA16|OMPR_ECOLI,sp,P0AA16,OMPR
sp|P0AA25|THIO_ECOLI,sp,P0AA25,THIO
sp|P0AA37|RLUA_ECOLI,sp,P0AA37,RLUA
sp|P0AA39|RLUC_ECOLI,sp,P0AA39,RLUC
sp|P0AA41|TRUC_ECOLI,sp,P0AA41,TRUC
sp|P0AA43|RSUA_ECOLI,sp,P0AA43,RSUA
sp|P0AA47|PLAP_ECOLI,sp,P0AA47,PLAP
sp|P0AA53|QMCA_ECOLI,sp,P0AA53,QMCA
sp|P0AA60|YGHB_ECOLI,sp,P0AA60,YGHB
sp|P0AA63|YQJA_ECOLI,sp,P0AA63,YQJA
sp|P0AA73|YHBE_ECOLI,sp,P0AA73,YHBE
sp|P0AA82|CODB_ECOLI,sp,P0AA82,CODB
sp|P0AA84|CLSB_ECOLI,sp,P0AA84,CLSB
sp|P0AA86|DSBE_ECOLI,sp,P0AA86,DSBE
sp|P0AA91|YEAY_ECOLI,sp,P0AA91,YEAY
sp|P0AA93|YPDA_ECOLI,sp,P0AA93,YPDA
sp|P0AA95|YACC_ECOLI,sp,P0AA95,YACC
sp|P0AA97|YAEQ_ECOLI,sp,P0AA97,YAEQ
sp|P0AAA1|YAGU_ECOLI,sp,P0AAA1,YAGU
sp|P0AAA7|WZXE_ECOLI,sp,P0AAA7,WZXE
sp|P0AAB4|UBID_ECOLI,sp,P0AAB4,UBID
sp|P0AAB8|USPD_ECOLI,sp,P0AAB8,USPD
sp|P0AAC0|USPE_ECOLI,sp,P0AAC0,USPE
sp|P0AAC4|YBHL_ECOLI,sp,P0AAC4,YBHL
sp|P0AAC6|YCCA_ECOLI,sp,P0AAC6,YCCA
sp|P0AAC8|ISCA_ECOLI,sp,P0AAC8,ISCA
sp|P0AAD6|SDAC_ECOLI,sp,P0AAD6,SDAC
sp|P0AAE0|CYCA_ECOLI,sp,P0AAE0,CYCA
sp|P0AAE2|PROY_ECOLI,sp,P0AAE2,PROY
sp|P0AAF6|ARTP_ECOLI,sp,P0AAF6,ARTP
sp|P0AAG3|GLTL_ECOLI,sp,P0AAG3,GLTL
sp|P0AAG5|MDLB_ECOLI,sp,P0AAG5,MDLB
sp|P0AAH0|PSTB_ECOLI,sp,P0AAH0,PSTB
sp|P0AAH4|SAPD_ECOLI,sp,P0AAH4,SAPD
sp|P0AAH8|SAPF_ECOLI,sp,P0AAH8,SAPF
sp|P0AAI3|FTSH_ECOLI,sp,P0AAI3,FTSH
sp|P0AAI5|FABF_ECOLI,sp,P0AAI5,FABF
sp|P0AAI9|FABD_ECOLI,sp,P0AAI9,FABD
sp|P0AAJ1|YNFG_ECOLI,sp,P0AAJ1,YNFG
sp|P0AAJ3|FDNH_ECOLI,sp,P0AAJ3,FDNH
sp|P0AAJ5|FDOH_ECOLI,sp,P0AAJ5,FDOH
sp|P0AAJ8|HYBA_ECOLI,sp,P0AAJ8,HYBA
sp|P0AAK1|HYCB_ECOLI,sp,P0AAK1,HYCB
sp|P0AAK4|HYDN_ECOLI,sp,P0AAK4,HYDN
sp|P0AAK7|NRFC_ECOLI,sp,P0AAK7,NRFC
sp|P0AAL6|YDHY_ECOLI,sp,P0AAL6,YDHY
sp|P0AAM1|CYBH_ECOLI,sp,P0AAM1,CYBH
sp|P0AAM3|HYPC_ECOLI,sp,P0AAM3,HYPC
sp|P0AAM7|HYBG_ECOLI,sp,P0AAM7,HYBG
sp|P0AAN1|HYBE_ECOLI,sp,P0AAN1,HYBE
sp|P0AAN3|HYPB_ECOLI,sp,P0AAN3,HYPB
sp|P0AAN5|YAIA_ECOLI,sp,P0AAN5,YAIA
sp|P0AAN9|IRAP_ECOLI,sp,P0AAN9,IRAP
sp|P0AAP3|FRMR_ECOLI,sp,P0AAP3,FRMR
sp|P0AAQ2|YAJD_ECOLI,sp,P0AAQ2,YAJD
sp|P0AAR3|YBAK_ECOLI,sp,P0AAR3,YBAK
sp|P0AAS7|YBCJ_ECOLI,sp,P0AAS7,YBCJ
sp|P0AAT2|YBDF_ECOLI,sp,P0AAT2,YBDF
sp|P0AAT4|YBDG_ECOLI,sp,P0AAT4,YBDG
sp|P0AAT6|IOJAP_ECOLI,sp,P0AAT6,IOJAP
sp|P0AAT9|YBEL_ECOLI,sp,P0AAT9,YBEL
sp|P0AAU2|YBFA_ECOLI,sp,P0AAU2,YBFA
sp|P0AAU7|YBFE_ECOLI,sp,P0AAU7,YBFE
sp|P0AAV4|PXPB_ECOLI,sp,P0AAV4,PXPB
sp|P0AAV6|YBGS_ECOLI,sp,P0AAV6,YBGS
sp|P0AAW1|YBHP_ECOLI,sp,P0AAW1,YBHP
sp|P0AAX8|YBIS_ECOLI,sp,P0AAX8,YBIS
sp|P0AAY6|YBJN_ECOLI,sp,P0AAY6,YBJN
sp|P0AAZ4|RARA_ECOLI,sp,P0AAZ4,RARA
sp|P0AAZ7|YCAR_ECOLI,sp,P0AAZ7,YCAR
sp|P0AB01|ELYC_ECOLI,sp,P0AB01,ELYC
sp|P0AB03|YCBJ_ECOLI,sp,P0AB03,YCBJ
sp|P0AB06|YCBK_ECOLI,sp,P0AB06,YCBK
sp|P0AB10|PQIC_ECOLI,sp,P0AB10,PQIC
sp|P0AB12|YCCF_ECOLI,sp,P0AB12,YCCF
sp|P0AB14|YCCJ_ECOLI,sp,P0AB14,YCCJ
sp|P0AB18|TUSE_ECOLI,sp,P0AB18,TUSE
sp|P0AB20|HSPQ_ECOLI,sp,P0AB20,HSPQ
sp|P0AB26|YCEB_ECOLI,sp,P0AB26,YCEB
sp|P0AB28|YCED_ECOLI,sp,P0AB28,YCED
sp|P0AB38|LPOB_ECOLI,sp,P0AB38,LPOB
sp|P0AB43|YCGL_ECOLI,sp,P0AB43,YCGL
sp|P0AB46|YMGD_ECOLI,sp,P0AB46,YMGD
sp|P0AB52|YCHN_ECOLI,sp,P0AB52,YCHN
sp|P0AB55|YCII_ECOLI,sp,P0AB55,YCII
sp|P0AB58|LAPB_ECOLI,sp,P0AB58,LAPB
sp|P0AB61|YCIN_ECOLI,sp,P0AB61,YCIN
sp|P0AB65|ACYP_ECOLI,sp,P0AB65,ACYP
sp|P0AB67|PNTB_ECOLI,sp,P0AB67,PNTB
sp|P0AB71|ALF_ECOLI,sp,P0AB71,ALF
sp|P0AB77|KBL_ECOLI,sp,P0AB77,KBL
sp|P0AB80|ILVE_ECOLI,sp,P0AB80,ILVE
sp|P0AB83|END3_ECOLI,sp,P0AB83,END3
sp|P0AB85|APBE_ECOLI,sp,P0AB85,APBE
sp|P0AB89|PUR8_ECOLI,sp,P0AB89,PUR8
sp|P0AB91|AROG_ECOLI,sp,P0AB91,AROG
sp|P0AB98|ATP6_ECOLI,sp,P0AB98,ATP6
sp|P0ABA0|ATPF_ECOLI,sp,P0ABA0,ATPF
sp|P0ABA4|ATPD_ECOLI,sp,P0ABA4,ATPD
sp|P0ABA6|ATPG_ECOLI,sp,P0ABA6,ATPG
sp|P0ABB0|ATPA_ECOLI,sp,P0ABB0,ATPA
sp|P0ABB4|ATPB_ECOLI,sp,P0ABB4,ATPB
sp|P0ABC3|HFLC_ECOLI,sp,P0ABC3,HFLC
sp|P0ABC7|HFLK_ECOLI,sp,P0ABC7,HFLK
sp|P0ABD3|BFR_ECOLI,sp,P0ABD3,BFR
sp|P0ABD5|ACCA_ECOLI,sp,P0ABD5,ACCA
sp|P0ABD8|BCCP_ECOLI,sp,P0ABD8,BCCP
sp|P0ABE2|BOLA_ECOLI,sp,P0ABE2,BOLA
sp|P0ABF1|PCNB_ECOLI,sp,P0ABF1,PCNB
sp|P0ABF6|CDD_ECOLI,sp,P0ABF6,CDD
sp|P0ABF8|PGSA_ECOLI,sp,P0ABF8,PGSA
sp|P0ABG4|FTSW_ECOLI,sp,P0ABG4,FTSW
sp|P0ABG7|RODA_ECOLI,sp,P0ABG7,RODA
sp|P0ABH0|FTSA_ECOLI,sp,P0ABH0,FTSA
sp|P0ABH7|CISY_ECOLI,sp,P0ABH7,CISY
sp|P0ABH9|CLPA_ECOLI,sp,P0ABH9,CLPA
sp|P0ABI4|CORA_ECOLI,sp,P0ABI4,CORA
sp|P0ABJ9|CYDA_ECOLI,sp,P0ABJ9,CYDA
sp|P0ABK2|CYDB_ECOLI,sp,P0ABK2,CYDB
sp|P0ABK5|CYSK_ECOLI,sp,P0ABK5,CYSK
sp|P0ABK9|NRFA_ECOLI,sp,P0ABK9,NRFA
sp|P0ABL1|NRFB_ECOLI,sp,P0ABL1,NRFB
sp|P0ABM1|CCMC_ECOLI,sp,P0ABM1,CCMC
sp|P0ABM9|CCMH_ECOLI,sp,P0ABM9,CCMH
sp|P0ABN1|KDGL_ECOLI,sp,P0ABN1,KDGL
sp|P0ABN5|DCUA_ECOLI,sp,P0ABN5,DCUA
sp|P0ABN9|DCUB_ECOLI,sp,P0ABN9,DCUB
sp|P0ABP3|DCUC_ECOLI,sp,P0ABP3,DCUC
sp|P0ABP8|DEOD_ECOLI,sp,P0ABP8,DEOD
sp|P0ABQ0|COABC_ECOLI,sp,P0ABQ0,COABC
sp|P0ABQ2|GARR_ECOLI,sp,P0ABQ2,GARR
sp|P0ABQ4|DYR_ECOLI,sp,P0ABQ4,DYR
sp|P0ABR1|DINI_ECOLI,sp,P0ABR1,DINI
sp|P0ABS1|DKSA_ECOLI,sp,P0ABS1,DKSA
sp|P0ABS5|DNAG_ECOLI,sp,P0ABS5,DNAG
sp|P0ABT2|DPS_ECOLI,sp,P0ABT2,DPS
sp|P0ABT5|DUSB_ECOLI,sp,P0ABT5,DUSB
sp|P0ABU0|MENB_ECOLI,sp,P0ABU0,MENB
sp|P0ABU2|YCHF_ECOLI,sp,P0ABU2,YCHF
sp|P0ABU5|ELBB_ECOLI,sp,P0ABU5,ELBB
sp|P0ABU7|EXBB_ECOLI,sp,P0ABU7,EXBB
sp|P0ABU9|TOLQ_ECOLI,sp,P0ABU9,TOLQ
sp|P0ABV2|EXBD_ECOLI,sp,P0ABV2,EXBD
sp|P0ABV6|TOLR_ECOLI,sp,P0ABV6,TOLR
sp|P0ABX8|FLIL_ECOLI,sp,P0ABX8,FLIL
sp|P0ABY4|FLAW_ECOLI,sp,P0ABY4,FLAW
sp|P0ABY7|FLHC_ECOLI,sp,P0ABY7,FLHC
sp|P0ABZ1|FLIG_ECOLI,sp,P0ABZ1,FLIG
sp|P0ABZ4|KDSC_ECOLI,sp,P0ABZ4,KDSC
sp|P0ABZ6|SURA_ECOLI,sp,P0ABZ6,SURA
sp|P0AC02|BAMD_ECOLI,sp,P0AC02,BAMD
sp|P0AC13|DHPS_ECOLI,sp,P0AC13,DHPS
sp|P0AC16|FOLB_ECOLI,sp,P0AC16,FOLB
sp|P0AC19|FOLX_ECOLI,sp,P0AC19,FOLX
sp|P0AC23|FOCA_ECOLI,sp,P0AC23,FOCA
sp|P0AC28|5FCL_ECOLI,sp,P0AC28,5FCL
sp|P0AC30|FTSX_ECOLI,sp,P0AC30,FTSX
sp|P0AC33|FUMA_ECOLI,sp,P0AC33,FUMA
sp|P0AC35|TTDB_ECOLI,sp,P0AC35,TTDB
sp|P0AC38|ASPA_ECOLI,sp,P0AC38,ASPA
sp|P0AC41|SDHA_ECOLI,sp,P0AC41,SDHA
sp|P0AC47|FRDB_ECOLI,sp,P0AC47,FRDB
sp|P0AC51|ZUR_ECOLI,sp,P0AC51,ZUR
sp|P0AC53|G6PD_ECOLI,sp,P0AC53,G6PD
sp|P0AC59|GLRX2_ECOLI,sp,P0AC59,GLRX2
sp|P0AC62|GLRX3_ECOLI,sp,P0AC62,GLRX3
sp|P0AC69|GLRX4_ECOLI,sp,P0AC69,GLRX4
sp|P0AC75|KDTA_ECOLI,sp,P0AC75,KDTA
sp|P0AC78|WECA_ECOLI,sp,P0AC78,WECA
sp|P0AC81|LGUL_ECOLI,sp,P0AC81,LGUL
sp|P0AC84|GLO2_ECOLI,sp,P0AC84,GLO2
sp|P0AC86|PHSG_ECOLI,sp,P0AC86,PHSG
sp|P0AC92|GNSA_ECOLI,sp,P0AC92,GNSA
sp|P0AC96|GNTU_ECOLI,sp,P0AC96,GNTU
sp|P0AC98|SATP_ECOLI,sp,P0AC98,SATP
sp|P0ACA1|YIBF_ECOLI,sp,P0ACA1,YIBF
sp|P0ACA3|SSPA_ECOLI,sp,P0ACA3,SSPA
sp|P0ACA7|GSTB_ECOLI,sp,P0ACA7,GSTB
sp|P0ACB0|DNAB_ECOLI,sp,P0ACB0,DNAB
sp|P0ACB2|HEM2_ECOLI,sp,P0ACB2,HEM2
sp|P0ACB4|HEMG_ECOLI,sp,P0ACB4,HEMG
sp|P0ACB7|HEMY_ECOLI,sp,P0ACB7,HEMY
sp|P0ACC1|PRMC_ECOLI,sp,P0ACC1,PRMC
sp|P0ACC3|ERPA_ECOLI,sp,P0ACC3,ERPA
sp|P0ACC7|GLMU_ECOLI,sp,P0ACC7,GLMU
sp|P0ACD4|ISCU_ECOLI,sp,P0ACD4,ISCU
