identifier,Source,ProteinName,GeneName
sp|P0ACD8|MBHL_ECOLI,sp,P0ACD8,MBHL
sp|P0ACE0|MBHM_ECOLI,sp,P0ACE0,MBHM
sp|P0ACE3|HHA_ECOLI,sp,P0ACE3,HHA
sp|P0ACE7|HINT_ECOLI,sp,P0ACE7,HINT
sp|P0ACF0|DBHA_ECOLI,sp,P0ACF0,DBHA
sp|P0ACF4|DBHB_ECOLI,sp,P0ACF4,DBHB
sp|P0ACF8|HNS_ECOLI,sp,P0ACF8,HNS
sp|P0ACG1|STPA_ECOLI,sp,P0ACG1,STPA
sp|P0ACG8|HSLR_ECOLI,sp,P0ACG8,HSLR
sp|P0ACH5|MARA_ECOLI,sp,P0ACH5,MARA
sp|P0ACH8|MELR_ECOLI,sp,P0ACH8,MELR
sp|P0ACI0|ROB_ECOLI,sp,P0ACI0,ROB
sp|P0ACI3|XYLR_ECOLI,sp,P0ACI3,XYLR
sp|P0ACI6|ASNC_ECOLI,sp,P0ACI6,ASNC
sp|P0ACJ0|LRP_ECOLI,sp,P0ACJ0,LRP
sp|P0ACJ8|CRP_ECOLI,sp,P0ACJ8,CRP
sp|P0ACK2|AGAR_ECOLI,sp,P0ACK2,AGAR
sp|P0ACK5|DEOR_ECOLI,sp,P0ACK5,DEOR
sp|P0ACK8|FUCR_ECOLI,sp,P0ACK8,FUCR
sp|P0ACL0|GLPR_ECOLI,sp,P0ACL0,GLPR
sp|P0ACL2|EXUR_ECOLI,sp,P0ACL2,EXUR
sp|P0ACL9|PDHR_ECOLI,sp,P0ACL9,PDHR
sp|P0ACM2|RSPR_ECOLI,sp,P0ACM2,RSPR
sp|P0ACM5|YEGW_ECOLI,sp,P0ACM5,YEGW
sp|P0ACN2|YTFH_ECOLI,sp,P0ACN2,YTFH
sp|P0ACN4|ALLR_ECOLI,sp,P0ACN4,ALLR
sp|P0ACN7|CYTR_ECOLI,sp,P0ACN7,CYTR
sp|P0ACP1|CRA_ECOLI,sp,P0ACP1,CRA
sp|P0ACP5|GNTR_ECOLI,sp,P0ACP5,GNTR
sp|P0ACP7|PURR_ECOLI,sp,P0ACP7,PURR
sp|P0ACQ0|RBSR_ECOLI,sp,P0ACQ0,RBSR
sp|P0ACQ4|OXYR_ECOLI,sp,P0ACQ4,OXYR
sp|P0ACR4|YEIE_ECOLI,sp,P0ACR4,YEIE
sp|P0ACR7|YFER_ECOLI,sp,P0ACR7,YFER
sp|P0ACR9|MPRA_ECOLI,sp,P0ACR9,MPRA
sp|P0ACS2|SOXR_ECOLI,sp,P0ACS2,SOXR
sp|P0ACS5|ZNTR_ECOLI,sp,P0ACS5,ZNTR
sp|P0ACS7|RPIR_ECOLI,sp,P0ACS7,RPIR
sp|P0ACS9|ACRR_ECOLI,sp,P0ACS9,ACRR
sp|P0ACT6|UIDR_ECOLI,sp,P0ACT6,UIDR
sp|P0ACU0|CECR_ECOLI,sp,P0ACU0,CECR
sp|P0ACU2|RUTR_ECOLI,sp,P0ACU2,RUTR
sp|P0ACU5|FABR_ECOLI,sp,P0ACU5,FABR
sp|P0ACU7|YJDC_ECOLI,sp,P0ACU7,YJDC
sp|P0ACV0|LPXL_ECOLI,sp,P0ACV0,LPXL
sp|P0ACW6|YDCH_ECOLI,sp,P0ACW6,YDCH
sp|P0ACX3|YDHR_ECOLI,sp,P0ACX3,YDHR
sp|P0ACX5|FUMD_ECOLI,sp,P0ACX5,FUMD
sp|P0ACY1|YDJA_ECOLI,sp,P0ACY1,YDJA
sp|P0ACY3|YEAG_ECOLI,sp,P0ACY3,YEAG
sp|P0ACZ2|ETP_ECOLI,sp,P0ACZ2,ETP
sp|P0ACZ4|EVGA_ECOLI,sp,P0ACZ4,EVGA
sp|P0ACZ8|CUSR_ECOLI,sp,P0ACZ8,CUSR
sp|P0AD01|DCUR_ECOLI,sp,P0AD01,DCUR
sp|P0AD05|YECA_ECOLI,sp,P0AD05,YECA
sp|P0AD07|YECF_ECOLI,sp,P0AD07,YECF
sp|P0AD12|YEEZ_ECOLI,sp,P0AD12,YEEZ
sp|P0AD14|BTSS_ECOLI,sp,P0AD14,BTSS
sp|P0AD19|YOHK_ECOLI,sp,P0AD19,YOHK
sp|P0AD24|YEJL_ECOLI,sp,P0AD24,YEJL
sp|P0AD27|YEJM_ECOLI,sp,P0AD27,YEJM
sp|P0AD30|YFCA_ECOLI,sp,P0AD30,YFCA
sp|P0AD33|YFCZ_ECOLI,sp,P0AD33,YFCZ
sp|P0AD37|YFEC_ECOLI,sp,P0AD37,YFEC
sp|P0AD42|PGPC_ECOLI,sp,P0AD42,PGPC
sp|P0AD44|YFHG_ECOLI,sp,P0AD44,YFHG
sp|P0AD49|YFIA_ECOLI,sp,P0AD49,YFIA
sp|P0AD57|ISPB_ECOLI,sp,P0AD57,ISPB
sp|P0AD59|IVY_ECOLI,sp,P0AD59,IVY
sp|P0AD61|KPYK1_ECOLI,sp,P0AD61,KPYK1
sp|P0AD65|MRDA_ECOLI,sp,P0AD65,MRDA
sp|P0AD68|FTSI_ECOLI,sp,P0AD68,FTSI
sp|P0AD70|AMPH_ECOLI,sp,P0AD70,AMPH
sp|P0AD96|LIVJ_ECOLI,sp,P0AD96,LIVJ
sp|P0AD99|BRNQ_ECOLI,sp,P0AD99,BRNQ
sp|P0ADA1|TESA_ECOLI,sp,P0ADA1,TESA
sp|P0ADA3|NLPD_ECOLI,sp,P0ADA3,NLPD
sp|P0ADA5|YAJG_ECOLI,sp,P0ADA5,YAJG
sp|P0ADB1|OSME_ECOLI,sp,P0ADB1,OSME
sp|P0ADB7|ECNB_ECOLI,sp,P0ADB7,ECNB
sp|P0ADC1|LPTE_ECOLI,sp,P0ADC1,LPTE
sp|P0ADC3|LOLC_ECOLI,sp,P0ADC3,LOLC
sp|P0ADC6|LPTG_ECOLI,sp,P0ADC6,LPTG
sp|P0ADD5|YJJP_ECOLI,sp,P0ADD5,YJJP
sp|P0ADE4|TAMA_ECOLI,sp,P0ADE4,TAMA
sp|P0ADE6|KBP_ECOLI,sp,P0ADE6,KBP
sp|P0ADE8|YGFZ_ECOLI,sp,P0ADE8,YGFZ
sp|P0ADF6|EDD_ECOLI,sp,P0ADF6,EDD
sp|P0ADF8|ILVN_ECOLI,sp,P0ADF8,ILVN
sp|P0ADG4|SUHB_ECOLI,sp,P0ADG4,SUHB
sp|P0ADG7|IMDH_ECOLI,sp,P0ADG7,IMDH
sp|P0ADI7|YECD_ECOLI,sp,P0ADI7,YECD
sp|P0ADJ5|BCSF_ECOLI,sp,P0ADJ5,BCSF
sp|P0ADK0|YIAF_ECOLI,sp,P0ADK0,YIAF
sp|P0ADK8|YIBL_ECOLI,sp,P0ADK8,YIBL
sp|P0ADL3|YICN_ECOLI,sp,P0ADL3,YICN
sp|P0ADM4|YIDQ_ECOLI,sp,P0ADM4,YIDQ
sp|P0ADM8|YIEE_ECOLI,sp,P0ADM8,YIEE
sp|P0ADN0|VIAA_ECOLI,sp,P0ADN0,VIAA
sp|P0ADN2|YIFE_ECOLI,sp,P0ADN2,YIFE
sp|P0ADN6|YIFL_ECOLI,sp,P0ADN6,YIFL
sp|P0ADP0|YIGB_ECOLI,sp,P0ADP0,YIGB
sp|P0ADP7|UBIJ_ECOLI,sp,P0ADP7,UBIJ
sp|P0ADP9|YIHD_ECOLI,sp,P0ADP9,YIHD
sp|P0ADQ2|FABY_ECOLI,sp,P0ADQ2,FABY
sp|P0ADQ7|YGAM_ECOLI,sp,P0ADQ7,YGAM
sp|P0ADR6|RLMM_ECOLI,sp,P0ADR6,RLMM
sp|P0ADR8|PPNN_ECOLI,sp,P0ADR8,PPNN
sp|P0ADS2|ZAPA_ECOLI,sp,P0ADS2,ZAPA
sp|P0ADS6|YGGE_ECOLI,sp,P0ADS6,YGGE
sp|P0ADS9|YGGN_ECOLI,sp,P0ADS9,YGGN
sp|P0ADT2|YGIB_ECOLI,sp,P0ADT2,YGIB
sp|P0ADT5|YGIC_ECOLI,sp,P0ADT5,YGIC
sp|P0ADT8|YGIM_ECOLI,sp,P0ADT8,YGIM
sp|P0ADU2|YGIN_ECOLI,sp,P0ADU2,YGIN
sp|P0ADU5|YGIW_ECOLI,sp,P0ADU5,YGIW
sp|P0ADU7|YQIB_ECOLI,sp,P0ADU7,YQIB
sp|P0ADV1|LPTA_ECOLI,sp,P0ADV1,LPTA
sp|P0ADV5|YHBW_ECOLI,sp,P0ADV5,YHBW
sp|P0ADV7|MLAC_ECOLI,sp,P0ADV7,MLAC
sp|P0ADV9|LPTC_ECOLI,sp,P0ADV9,LPTC
sp|P0ADW3|ZAPG_ECOLI,sp,P0ADW3,ZAPG
sp|P0ADW6|YHCC_ECOLI,sp,P0ADW6,YHCC
sp|P0ADX1|YHFA_ECOLI,sp,P0ADX1,YHFA
sp|P0ADX7|YHHA_ECOLI,sp,P0ADX7,YHHA
sp|P0ADX9|RSMD_ECOLI,sp,P0ADX9,RSMD
sp|P0ADY1|PPID_ECOLI,sp,P0ADY1,PPID
sp|P0ADY3|RL14_ECOLI,sp,P0ADY3,RL14
sp|P0ADY7|RL16_ECOLI,sp,P0ADY7,RL16
sp|P0ADZ0|RL23_ECOLI,sp,P0ADZ0,RL23
sp|P0ADZ4|RS15_ECOLI,sp,P0ADZ4,RS15
sp|P0ADZ7|YAJC_ECOLI,sp,P0ADZ7,YAJC
sp|P0AE01|TRMJ_ECOLI,sp,P0AE01,TRMJ
sp|P0AE06|ACRA_ECOLI,sp,P0AE06,ACRA
sp|P0AE08|AHPC_ECOLI,sp,P0AE08,AHPC
sp|P0AE12|AMN_ECOLI,sp,P0AE12,AMN
sp|P0AE14|AMPE_ECOLI,sp,P0AE14,AMPE
sp|P0AE16|AMPG_ECOLI,sp,P0AE16,AMPG
sp|P0AE18|MAP1_ECOLI,sp,P0AE18,MAP1
sp|P0AE22|APHA_ECOLI,sp,P0AE22,APHA
sp|P0AE28|AROM_ECOLI,sp,P0AE28,AROM
sp|P0AE30|ARTM_ECOLI,sp,P0AE30,ARTM
sp|P0AE34|ARTQ_ECOLI,sp,P0AE34,ARTQ
sp|P0AE39|YPDB_ECOLI,sp,P0AE39,YPDB
sp|P0AE45|PAEA_ECOLI,sp,P0AE45,PAEA
sp|P0AE48|YTFP_ECOLI,sp,P0AE48,YTFP
sp|P0AE52|BCP_ECOLI,sp,P0AE52,BCP
sp|P0AE58|CAIF_ECOLI,sp,P0AE58,CAIF
sp|P0AE60|CEDA_ECOLI,sp,P0AE60,CEDA
sp|P0AE63|CHAB_ECOLI,sp,P0AE63,CHAB
sp|P0AE67|CHEY_ECOLI,sp,P0AE67,CHEY
sp|P0AE70|MAZF_ECOLI,sp,P0AE70,MAZF
sp|P0AE72|MAZE_ECOLI,sp,P0AE72,MAZE
sp|P0AE74|CITT_ECOLI,sp,P0AE74,CITT
sp|P0AE76|COBU_ECOLI,sp,P0AE76,COBU
sp|P0AE78|CORC_ECOLI,sp,P0AE78,CORC
sp|P0AE82|CPXA_ECOLI,sp,P0AE82,CPXA
sp|P0AE85|CPXP_ECOLI,sp,P0AE85,CPXP
sp|P0AE88|CPXR_ECOLI,sp,P0AE88,CPXR
sp|P0AE91|CREA_ECOLI,sp,P0AE91,CREA
sp|P0AEA8|CYSG_ECOLI,sp,P0AEA8,CYSG
sp|P0AEB2|DACA_ECOLI,sp,P0AEB2,DACA
sp|P0AEB5|YNAI_ECOLI,sp,P0AEB5,YNAI
sp|P0AEB7|YOAB_ECOLI,sp,P0AEB7,YOAB
sp|P0AEC0|YOAE_ECOLI,sp,P0AEC0,YOAE
sp|P0AEC3|ARCB_ECOLI,sp,P0AEC3,ARCB
sp|P0AEC5|BARA_ECOLI,sp,P0AEC5,BARA
sp|P0AEC8|DCUS_ECOLI,sp,P0AEC8,DCUS
sp|P0AED0|USPA_ECOLI,sp,P0AED0,USPA
sp|P0AED5|UVRY_ECOLI,sp,P0AED5,UVRY
sp|P0AED7|DAPE_ECOLI,sp,P0AED7,DAPE
sp|P0AED9|DCM_ECOLI,sp,P0AED9,DCM
sp|P0AEE1|DCRB_ECOLI,sp,P0AEE1,DCRB
sp|P0AEE3|DEGS_ECOLI,sp,P0AEE3,DEGS
sp|P0AEE8|DMA_ECOLI,sp,P0AEE8,DMA
sp|P0AEF0|DNAC_ECOLI,sp,P0AEF0,DNAC
sp|P0AEF4|DPIA_ECOLI,sp,P0AEF4,DPIA
sp|P0AEG4|DSBA_ECOLI,sp,P0AEG4,DSBA
sp|P0AEG6|DSBC_ECOLI,sp,P0AEG6,DSBC
sp|P0AEH1|RSEP_ECOLI,sp,P0AEH1,RSEP
sp|P0AEH5|ELAB_ECOLI,sp,P0AEH5,ELAB
sp|P0AEH8|YJIG_ECOLI,sp,P0AEH8,YJIG
sp|P0AEI1|MIAB_ECOLI,sp,P0AEI1,MIAB
sp|P0AEI4|RIMO_ECOLI,sp,P0AEI4,RIMO
sp|P0AEI6|NUDJ_ECOLI,sp,P0AEI6,NUDJ
sp|P0AEJ0|EMRB_ECOLI,sp,P0AEJ0,EMRB
sp|P0AEJ4|ENVZ_ECOLI,sp,P0AEJ4,ENVZ
sp|P0AEJ6|EUTB_ECOLI,sp,P0AEJ6,EUTB
sp|P0AEK0|EXOX_ECOLI,sp,P0AEK0,EXOX
sp|P0AEK2|FABG_ECOLI,sp,P0AEK2,FABG
sp|P0AEK4|FABI_ECOLI,sp,P0AEK4,FABI
sp|P0AEK7|FDNI_ECOLI,sp,P0AEK7,FDNI
sp|P0AEL0|FDOI_ECOLI,sp,P0AEL0,FDOI
sp|P0AEL3|FEOA_ECOLI,sp,P0AEL3,FEOA
sp|P0AEL6|FEPB_ECOLI,sp,P0AEL6,FEPB
sp|P0AEM0|FKBX_ECOLI,sp,P0AEM0,FKBX
sp|P0AEM4|FLGM_ECOLI,sp,P0AEM4,FLGM
sp|P0AEM6|FLIA_ECOLI,sp,P0AEM6,FLIA
sp|P0AEM9|TCYJ_ECOLI,sp,P0AEM9,TCYJ
sp|P0AEN1|FRE_ECOLI,sp,P0AEN1,FRE
sp|P0AEN4|FTSL_ECOLI,sp,P0AEN4,FTSL
sp|P0AEN8|FUCM_ECOLI,sp,P0AEN8,FUCM
sp|P0AEP3|GALU_ECOLI,sp,P0AEP3,GALU
sp|P0AEQ1|GLCG_ECOLI,sp,P0AEQ1,GLCG
sp|P0AEQ3|GLNH_ECOLI,sp,P0AEQ3,GLNH
sp|P0AEQ6|GLNP_ECOLI,sp,P0AEQ6,GLNP
sp|P0AES0|GSP_ECOLI,sp,P0AES0,GSP
sp|P0AES2|GUDD_ECOLI,sp,P0AES2,GUDD
sp|P0AES4|GYRA_ECOLI,sp,P0AES4,GYRA
sp|P0AES6|GYRB_ECOLI,sp,P0AES6,GYRB
sp|P0AET2|HDEB_ECOLI,sp,P0AET2,HDEB
sp|P0AET5|HDED_ECOLI,sp,P0AET5,HDED
sp|P0AET8|HDHA_ECOLI,sp,P0AET8,HDHA
sp|P0AEU0|HISJ_ECOLI,sp,P0AEU0,HISJ
sp|P0AEU7|SKP_ECOLI,sp,P0AEU7,SKP
sp|P0AEV1|RSSB_ECOLI,sp,P0AEV1,RSSB
sp|P0AEV4|HYCA_ECOLI,sp,P0AEV4,HYCA
sp|P0AEV7|HYCH_ECOLI,sp,P0AEV7,HYCH
sp|P0AEV9|HYCI_ECOLI,sp,P0AEV9,HYCI
sp|P0AEW4|CPDA_ECOLI,sp,P0AEW4,CPDA
sp|P0AEW6|INGK_ECOLI,sp,P0AEW6,INGK
sp|P0AEW9|K1PF_ECOLI,sp,P0AEW9,K1PF
sp|P0AEX5|KPPR_ECOLI,sp,P0AEX5,KPPR
sp|P0AEX9|MALE_ECOLI,sp,P0AEX9,MALE
sp|P0AEY3|MAZG_ECOLI,sp,P0AEY3,MAZG
sp|P0AEY5|MDAB_ECOLI,sp,P0AEY5,MDAB
sp|P0AEY8|MDFA_ECOLI,sp,P0AEY8,MDFA
sp|P0AEZ1|METF_ECOLI,sp,P0AEZ1,METF
sp|P0AEZ3|MIND_ECOLI,sp,P0AEZ3,MIND
sp|P0AEZ9|MOAB_ECOLI,sp,P0AEZ9,MOAB
sp|P0AF01|MODB_ECOLI,sp,P0AF01,MODB
sp|P0AF03|MOG_ECOLI,sp,P0AF03,MOG
sp|P0AF08|APBC_ECOLI,sp,P0AF08,APBC
sp|P0AF12|MTNN_ECOLI,sp,P0AF12,MTNN
sp|P0AF16|MURJ_ECOLI,sp,P0AF16,MURJ
sp|P0AF18|NAGA_ECOLI,sp,P0AF18,NAGA
sp|P0AF20|NAGC_ECOLI,sp,P0AF20,NAGC
sp|P0AF24|NAGD_ECOLI,sp,P0AF24,NAGD
sp|P0AF26|NARJ_ECOLI,sp,P0AF26,NARJ
sp|P0AF28|NARL_ECOLI,sp,P0AF28,NARL
sp|P0AF36|ZAPB_ECOLI,sp,P0AF36,ZAPB
sp|P0AF48|YJBQ_ECOLI,sp,P0AF48,YJBQ
sp|P0AF50|YJBR_ECOLI,sp,P0AF50,YJBR
sp|P0AF52|GHXP_ECOLI,sp,P0AF52,GHXP
sp|P0AF56|YJCO_ECOLI,sp,P0AF56,YJCO
sp|P0AF61|GHOS_ECOLI,sp,P0AF61,GHOS
sp|P0AF63|NSRR_ECOLI,sp,P0AF63,NSRR
sp|P0AF67|TSAE_ECOLI,sp,P0AF67,TSAE
sp|P0AF70|YJEI_ECOLI,sp,P0AF70,YJEI
sp|P0AF90|RRAB_ECOLI,sp,P0AF90,RRAB
sp|P0AF93|RIDA_ECOLI,sp,P0AF93,RIDA
sp|P0AF96|TABA_ECOLI,sp,P0AF96,TABA
sp|P0AF98|LPTF_ECOLI,sp,P0AF98,LPTF
sp|P0AFA2|NARX_ECOLI,sp,P0AFA2,NARX
sp|P0AFA7|NHAB_ECOLI,sp,P0AFA7,NHAB
sp|P0AFA9|NIKC_ECOLI,sp,P0AFA9,NIKC
sp|P0AFB1|NLPI_ECOLI,sp,P0AFB1,NLPI
sp|P0AFB5|NTRB_ECOLI,sp,P0AFB5,NTRB
sp|P0AFB8|NTRC_ECOLI,sp,P0AFB8,NTRC
sp|P0AFC3|NUOA_ECOLI,sp,P0AFC3,NUOA
sp|P0AFC7|NUOB_ECOLI,sp,P0AFC7,NUOB
sp|P0AFD1|NUOE_ECOLI,sp,P0AFD1,NUOE
sp|P0AFD4|NUOH_ECOLI,sp,P0AFD4,NUOH
sp|P0AFD6|NUOI_ECOLI,sp,P0AFD6,NUOI
sp|P0AFE4|NUOK_ECOLI,sp,P0AFE4,NUOK
sp|P0AFE8|NUOM_ECOLI,sp,P0AFE8,NUOM
sp|P0AFF0|NUON_ECOLI,sp,P0AFF0,NUON
sp|P0AFF2|NUPC_ECOLI,sp,P0AFF2,NUPC
sp|P0AFF6|NUSA_ECOLI,sp,P0AFF6,NUSA
sp|P0AFG0|NUSG_ECOLI,sp,P0AFG0,NUSG
sp|P0AFG3|ODO1_ECOLI,sp,P0AFG3,ODO1
sp|P0AFG6|ODO2_ECOLI,sp,P0AFG6,ODO2
sp|P0AFG8|ODP1_ECOLI,sp,P0AFG8,ODP1
sp|P0AFH0|OGT_ECOLI,sp,P0AFH0,OGT
sp|P0AFH2|OPPB_ECOLI,sp,P0AFH2,OPPB
sp|P0AFH6|OPPC_ECOLI,sp,P0AFH6,OPPC
sp|P0AFH8|OSMY_ECOLI,sp,P0AFH8,OSMY
sp|P0AFI2|PARC_ECOLI,sp,P0AFI2,PARC
sp|P0AFI5|PBP7_ECOLI,sp,P0AFI5,PBP7
sp|P0AFI7|PDXH_ECOLI,sp,P0AFI7,PDXH
sp|P0AFI9|PERM_ECOLI,sp,P0AFI9,PERM
sp|P0AFJ1|YJDM_ECOLI,sp,P0AFJ1,YJDM
sp|P0AFJ5|PHOB_ECOLI,sp,P0AFJ5,PHOB
sp|P0AFJ7|PITA_ECOLI,sp,P0AFJ7,PITA
sp|P0AFK0|PMBA_ECOLI,sp,P0AFK0,PMBA
sp|P0AFK4|POTB_ECOLI,sp,P0AFK4,POTB
sp|P0AFK9|POTD_ECOLI,sp,P0AFK9,POTD
sp|P0AFL3|PPIA_ECOLI,sp,P0AFL3,PPIA
sp|P0AFL6|PPX_ECOLI,sp,P0AFL6,PPX
sp|P0AFM6|PSPA_ECOLI,sp,P0AFM6,PSPA
sp|P0AFN2|PSPC_ECOLI,sp,P0AFN2,PSPC
sp|P0AFP4|YBBO_ECOLI,sp,P0AFP4,YBBO
sp|P0AFP6|GCH1L_ECOLI,sp,P0AFP6,GCH1L
sp|P0AFP9|YBHR_ECOLI,sp,P0AFP9,YBHR
sp|P0AFQ2|YBHS_ECOLI,sp,P0AFQ2,YBHS
sp|P0AFQ7|YCFH_ECOLI,sp,P0AFQ7,YCFH
sp|P0AFR0|RSSA_ECOLI,sp,P0AFR0,RSSA
sp|P0AFR2|DAUA_ECOLI,sp,P0AFR2,DAUA
sp|P0AFR4|YCIO_ECOLI,sp,P0AFR4,YCIO
sp|P0AFS3|FOLM_ECOLI,sp,P0AFS3,FOLM
sp|P0AFS7|YDIK_ECOLI,sp,P0AFS7,YDIK
sp|P0AFT2|TCYL_ECOLI,sp,P0AFT2,TCYL
sp|P0AFT5|BTSR_ECOLI,sp,P0AFT5,BTSR
sp|P0AFU0|YEJB_ECOLI,sp,P0AFU0,YEJB
sp|P0AFU2|YFBS_ECOLI,sp,P0AFU2,YFBS
sp|P0AFU4|GLRR_ECOLI,sp,P0AFU4,GLRR
sp|P0AFU8|RISA_ECOLI,sp,P0AFU8,RISA
sp|P0AFV4|MEPS_ECOLI,sp,P0AFV4,MEPS
sp|P0AFW0|RFAH_ECOLI,sp,P0AFW0,RFAH
sp|P0AFW4|RNK_ECOLI,sp,P0AFW4,RNK
sp|P0AFW8|ROF_ECOLI,sp,P0AFW8,ROF
sp|P0AFX0|HPF_ECOLI,sp,P0AFX0,HPF
sp|P0AFX4|RSD_ECOLI,sp,P0AFX4,RSD
sp|P0AFX7|RSEA_ECOLI,sp,P0AFX7,RSEA
sp|P0AFX9|RSEB_ECOLI,sp,P0AFX9,RSEB
sp|P0AFY2|SANA_ECOLI,sp,P0AFY2,SANA
sp|P0AFY6|SBMA_ECOLI,sp,P0AFY6,SBMA
sp|P0AFY8|SEQA_ECOLI,sp,P0AFY8,SEQA
sp|P0AFZ1|SSEB_ECOLI,sp,P0AFZ1,SSEB
sp|P0AFZ3|SSPB_ECOLI,sp,P0AFZ3,SSPB
sp|P0AG00|WZZE_ECOLI,sp,P0AG00,WZZE
sp|P0AG03|UBIX_ECOLI,sp,P0AG03,UBIX
sp|P0AG07|RPE_ECOLI,sp,P0AG07,RPE
sp|P0AG14|SOHB_ECOLI,sp,P0AG14,SOHB
sp|P0AG16|PUR1_ECOLI,sp,P0AG16,PUR1
sp|P0AG18|PURE_ECOLI,sp,P0AG18,PURE
sp|P0AG20|RELA_ECOLI,sp,P0AG20,RELA
sp|P0AG24|SPOT_ECOLI,sp,P0AG24,SPOT
sp|P0AG27|YIBN_ECOLI,sp,P0AG27,YIBN
sp|P0AG30|RHO_ECOLI,sp,P0AG30,RHO
sp|P0AG38|RHTC_ECOLI,sp,P0AG38,RHTC
sp|P0AG40|RIBF_ECOLI,sp,P0AG40,RIBF
sp|P0AG44|RL17_ECOLI,sp,P0AG44,RL17
sp|P0AG48|RL21_ECOLI,sp,P0AG48,RL21
sp|P0AG51|RL30_ECOLI,sp,P0AG51,RL30
sp|P0AG55|RL6_ECOLI,sp,P0AG55,RL6
sp|P0AG59|RS14_ECOLI,sp,P0AG59,RS14
sp|P0AG63|RS17_ECOLI,sp,P0AG63,RS17
sp|P0AG67|RS1_ECOLI,sp,P0AG67,RS1
sp|P0AG71|RMUC_ECOLI,sp,P0AG71,RMUC
sp|P0AG76|SBCD_ECOLI,sp,P0AG76,SBCD
sp|P0AG80|UGPB_ECOLI,sp,P0AG80,UGPB
sp|P0AG82|PSTS_ECOLI,sp,P0AG82,PSTS
sp|P0AG84|YGHA_ECOLI,sp,P0AG84,YGHA
sp|P0AG86|SECB_ECOLI,sp,P0AG86,SECB
sp|P0AG90|SECD_ECOLI,sp,P0AG90,SECD
sp|P0AG93|SECF_ECOLI,sp,P0AG93,SECF
sp|P0AG96|SECE_ECOLI,sp,P0AG96,SECE
sp|P0AG99|SECG_ECOLI,sp,P0AG99,SECG
sp|P0AGA2|SECY_ECOLI,sp,P0AGA2,SECY
sp|P0AGA6|UHPA_ECOLI,sp,P0AGA6,UHPA
sp|P0AGB0|SERB_ECOLI,sp,P0AGB0,SERB
sp|P0AGB3|RPOH_ECOLI,sp,P0AGB3,RPOH
sp|P0AGB6|RPOE_ECOLI,sp,P0AGB6,RPOE
sp|P0AGC3|SLT_ECOLI,sp,P0AGC3,SLT
sp|P0AGC7|SMP_ECOLI,sp,P0AGC7,SMP
sp|P0AGD1|SODC_ECOLI,sp,P0AGD1,SODC
sp|P0AGD3|SODF_ECOLI,sp,P0AGD3,SODF
sp|P0AGD7|SRP54_ECOLI,sp,P0AGD7,SRP54
sp|P0AGE0|SSB_ECOLI,sp,P0AGE0,SSB
sp|P0AGE4|SSTT_ECOLI,sp,P0AGE4,SSTT
sp|P0AGE6|CHRR_ECOLI,sp,P0AGE6,CHRR
sp|P0AGE9|SUCD_ECOLI,sp,P0AGE9,SUCD
sp|P0AGF2|CSDE_ECOLI,sp,P0AGF2,CSDE
sp|P0AGG0|THIL_ECOLI,sp,P0AGG0,THIL
sp|P0AGG2|TESB_ECOLI,sp,P0AGG2,TESB
sp|P0AGG4|THIO2_ECOLI,sp,P0AGG4,THIO2
sp|P0AGG8|TLDD_ECOLI,sp,P0AGG8,TLDD
sp|P0AGH1|YHHJ_ECOLI,sp,P0AGH1,YHHJ
sp|P0AGH3|SAPB_ECOLI,sp,P0AGH3,SAPB
sp|P0AGH5|SAPC_ECOLI,sp,P0AGH5,SAPC
sp|P0AGH8|PSTC_ECOLI,sp,P0AGH8,PSTC
sp|P0AGI1|RBSC_ECOLI,sp,P0AGI1,RBSC
sp|P0AGI8|TRKA_ECOLI,sp,P0AGI8,TRKA
sp|P0AGJ2|TRMH_ECOLI,sp,P0AGJ2,TRMH
sp|P0AGJ5|YFIF_ECOLI,sp,P0AGJ5,YFIF
sp|P0AGJ7|TRML_ECOLI,sp,P0AGJ7,TRML
sp|P0AGJ9|SYY_ECOLI,sp,P0AGJ9,SYY
sp|P0AGK1|UBIA_ECOLI,sp,P0AGK1,UBIA
